society_name,square_footage,bedrooms,bathrooms,age_of_house,lot_size,garage_size,has_pool,school_district_rating,distance_to_city_center,nearby_amenities,price
Sunset Heights,2123.6203565420874,4,3,26,8787.403032724198,0,1,9,12.758678613582136,8,482287.49500818
Mountain Ridge,3852.1429192297487,3,2,7,5381.033576108874,3,1,1,29.53859445502891,10,579850.563353233
Maple Grove,3195.9818254342154,5,4,82,4423.447245123434,1,0,4,9.47521974544225,10,556200.8362705896
Pinewood Estates,2795.97545259111,1,3,64,4602.361072184249,3,1,2,9.549699912056239,2,498710.5988616049
River View,1468.0559213273095,5,2,56,7700.970664788103,1,1,4,11.281898056029615,1,414094.4171252243
Pinewood Estates,1467.983561008608,1,4,92,8534.235732045088,2,0,8,17.373228357419325,8,251851.12347255315
Maple Grove,1174.2508365045983,2,1,98,3452.911742052821,1,1,8,8.317359583648612,7,242588.84577956903
Maple Grove,3598.5284373248055,1,3,39,4967.528065262122,0,1,9,27.543408270998942,7,458455.44304749236
Sunset Heights,2803.3450352296263,4,1,13,9215.5215739932,3,0,5,8.704881381121641,4,632852.9945733564
Mountain Ridge,3124.2177333881364,3,4,34,8453.548157557914,1,1,7,26.978656215245646,9,569073.0788621021
Mountain Ridge,1061.7534828874072,2,3,47,9878.867222099807,3,1,3,4.000776845750955,6,312675.4884780193
Pinewood Estates,3909.729556485983,1,4,83,8033.986077456646,2,1,10,20.04031836958992,2,617107.4734359661
River View,3497.3279224012654,5,1,55,5145.561608223378,2,1,4,27.302580034709067,1,610529.812776518
River View,1637.0173320348285,2,3,48,6725.102671957102,0,1,10,5.893733713548657,1,418842.82183695363
Sunset Heights,1545.4749016213018,2,1,12,7288.1140339785625,2,1,9,29.081481842878397,9,425241.8334086738
Maple Grove,1550.2135295603016,1,4,60,2627.6465305369916,1,0,10,14.133617452049839,4,312665.3915013444
Sunset Heights,1912.7267288786131,2,4,48,6355.97567283092,2,1,10,28.425738144789708,5,379199.8045439417
Mountain Ridge,2574.2692948967133,5,1,45,7674.566627780877,0,0,1,20.627781265271363,3,376075.44190446887
Maple Grove,2295.835055926347,2,3,61,3338.5704320084833,3,0,2,9.746019226332995,4,382655.4161460432
Sunset Heights,1873.6874205941258,5,1,7,8245.053739404457,3,0,5,6.460773222596086,8,432408.43800315
Pinewood Estates,2835.5586841671384,1,4,42,6670.182244112893,2,0,3,9.808316340527883,4,499270.1125489102
Mountain Ridge,1418.4815819561254,3,1,19,9617.774285580757,1,1,2,3.6975048686175747,9,358912.7486622923
River View,1876.4339456056546,2,4,96,2339.3783856551336,0,1,1,5.1721710239565635,9,434338.0214305937
Sunset Heights,2099.085529881075,3,1,89,4122.609100443736,1,1,10,4.035152770047953,6,416988.5970071499
Mountain Ridge,2368.209952651108,5,3,38,6812.431034398593,0,0,3,13.265362768505174,2,375720.00777887594
Mountain Ridge,3355.527884179041,2,3,84,4372.4792976474455,2,1,1,24.071772911470006,10,436424.90496137936
River View,1599.021346475079,4,1,48,7715.393312569938,0,1,1,5.100123072273865,7,296411.81883122097
River View,2542.703315240835,3,1,63,8072.042260175448,0,1,1,4.779292561997741,9,404490.83646558365
River View,2777.2437065861277,2,3,61,2820.1277125317956,2,0,8,19.65943953600259,6,428185.9221425077
Sunset Heights,1139.3512381599933,3,4,53,6110.835713654142,1,0,3,6.718306477073922,3,270805.6616373631
River View,2822.634555704315,2,3,8,6071.124444728447,2,1,1,3.8306911051607564,7,567969.5555861107
Pinewood Estates,1511.5723710618745,1,4,87,4954.246161724328,0,0,7,5.838608767961752,5,232586.60908176083
Mountain Ridge,1195.1547789558385,3,1,36,9463.398900557377,2,0,10,27.788210480426507,1,230679.6086240395
River View,3846.6566117599996,4,1,48,8620.05055898577,0,1,3,24.822666330509534,3,531623.4226598724
Mountain Ridge,3896.896099223678,4,4,40,7577.6750552770945,2,0,8,11.26787230829773,5,728391.0549061971
Maple Grove,3425.192044349383,5,1,16,7714.613085879981,3,0,4,20.018802252494392,7,521262.4762921119
Maple Grove,1913.841307520112,2,4,87,5693.7291505049525,3,1,4,16.580994536373105,3,515281.8420671013
River View,1293.0163420191516,3,2,20,9367.956168772607,2,0,5,20.636603640994355,6,265184.52551670076
Mountain Ridge,3052.699079536471,5,3,50,7556.763418026283,1,0,6,20.79746342142002,5,449183.48927637184
Maple Grove,2320.457481218804,3,2,58,7831.848493246532,0,0,7,19.233286436739796,1,307299.79542572325
River View,1366.1147045343364,2,4,38,8893.527230298761,3,0,4,8.716939687581949,10,537963.2539561698
Mountain Ridge,2485.5307303338104,4,3,54,4192.572714737527,1,0,8,2.1311862021217256,6,515889.47692301637
River View,1103.1655633456553,1,4,40,8456.567230933624,0,0,6,14.211436677713156,8,269733.201597389
Mountain Ridge,3727.9612062363462,4,3,38,3561.924823651936,3,0,1,26.83824265603041,1,601591.3633583803
Maple Grove,1776.3399448000507,5,3,12,4762.7356179591025,3,0,1,17.5154204970387,2,395076.02738440415
River View,2987.566853061946,1,3,63,4684.883634158741,2,1,9,25.13934020935533,4,458217.20043260866
Maple Grove,1935.1332282682329,5,3,10,9828.203747113124,0,1,10,29.757105945875615,2,426089.8667003508
River View,2560.2040635334324,2,4,18,8852.297789983415,1,1,6,5.744869920010012,9,608754.4635035404
Sunset Heights,2640.1308380298387,1,3,10,7609.358892722078,1,1,10,21.061551535117488,10,447977.4666819606
Maple Grove,1554.563366576581,5,3,76,7816.454092923121,1,0,8,20.554513637300715,8,351996.77297277085
Maple Grove,3908.7538832936757,2,2,45,6496.582355220568,0,1,7,29.418707973390074,8,459597.31898517534
